BY000064390,19500101,PRCP,0,,,Q,
BY000064390,19500102,PRCP,0,,,Q,
BY000064390,19500103,PRCP,130,,,Q,
BY000064390,19500104,PRCP,33,,,Q,
BY000064390,19500105,PRCP,3,,,Q,
BY000064390,19500106,PRCP,0,,,Q,
BY000064390,19500107,PRCP,24,,,Q,
BY000064390,19500108,PRCP,0,,,Q,
BY000064390,19500109,PRCP,42,,,Q,
BY000064390,19500110,PRCP,0,,,Q,
BY000064390,19500111,PRCP,3,,,Q,
BY000064390,19500112,PRCP,0,,,Q,
BY000064390,19500113,PRCP,3,,,Q,
BY000064390,19500114,PRCP,1,,,Q,
BY000064390,19500115,PRCP,0,,,Q,
BY000064390,19500116,PRCP,11,,,Q,
BY000064390,19500117,PRCP,0,,,Q,
BY000064390,19500118,PRCP,25,,,Q,
BY000064390,19500119,PRCP,46,,,Q,
BY000064390,19500120,PRCP,0,,,Q,
BY000064390,19500121,PRCP,88,,,Q,
BY000064390,19500122,PRCP,9,,,Q,
BY000064390,19500123,PRCP,0,,,Q,
BY000064390,19500124,PRCP,21,,,Q,
BY000064390,19500125,PRCP,34,,,Q,
BY000064390,19500126,PRCP,0,,,Q,
BY000064390,19500127,PRCP,141,,,Q,
BY000064390,19500128,PRCP,148,,,Q,
BY000064390,19500129,PRCP,63,,,Q,
BY000064390,19500130,PRCP,0,,,Q,
BY000064390,19500131,PRCP,0,,,Q,
BY000064390,19500201,PRCP,247,,,Q,
BY000064390,19500202,PRCP,1,,,Q,
BY000064390,19500203,PRCP,1,,,Q,
BY000064390,19500204,PRCP,89,,,Q,
BY000064390,19500205,PRCP,230,,,Q,
BY000064390,19500206,PRCP,0,,,Q,
BY000064390,19500207,PRCP,7,,,Q,
BY000064390,19500208,PRCP,0,,,Q,
BY000064390,19500209,PRCP,103,,,Q,
BY000064390,19500210,PRCP,0,,,Q,
BY000064390,19500211,PRCP,0,,,Q,
BY000064390,19500212,PRCP,2,,,Q,
BY000064390,19500213,PRCP,450,,,Q,
BY000064390,19500214,PRCP,8,,,Q,
BY000064390,19500215,PRCP,1,,,Q,
BY000064390,19500216,PRCP,35,,,Q,
BY000064390,19500217,PRCP,183,,,Q,
BY000064390,19500218,PRCP,331,,,Q,
BY000064390,19500219,PRCP,22,,,Q,
BY000064390,19500220,PRCP,22,,,Q,
BY000064390,19500221,PRCP,107,,,Q,
BY000064390,19500222,PRCP,18,,,Q,
BY000064390,19500223,PRCP,2,,,Q,
BY000064390,19500224,PRCP,0,,,Q,
BY000064390,19500225,PRCP,12,,,Q,
BY000064390,19500226,PRCP,0,,,Q,
BY000064390,19500227,PRCP,0,,,Q,
BY000064390,19500228,PRCP,0,,,Q,
BY000064390,19500301,PRCP,0,,,Q,
BY000064390,19500302,PRCP,0,,,Q,
BY000064390,19500303,PRCP,0,,,Q,
BY000064390,19500304,PRCP,0,,,Q,
BY000064390,19500305,PRCP,0,,,Q,
