"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ET000063500","1987-02-25","6.083","37.633","1290.0","ARBA MINCH, ET","  351",",,Q","  210",",,Q"
"ET000063500","1987-02-26","6.083","37.633","1290.0","ARBA MINCH, ET","  332",",,Q","  194",",,Q"
"ET000063500","1987-02-27","6.083","37.633","1290.0","ARBA MINCH, ET","  343",",,Q","  206",",,Q"
"ET000063500","1987-02-28","6.083","37.633","1290.0","ARBA MINCH, ET","  342",",,Q","  226",",,Q"
"ET000063500","1987-03-01","6.083","37.633","1290.0","ARBA MINCH, ET","  342",",,Q","  202",",,Q"
"ET000063500","1987-03-02","6.083","37.633","1290.0","ARBA MINCH, ET","  355",",,Q","  220",",,Q"
"ET000063500","1987-03-03","6.083","37.633","1290.0","ARBA MINCH, ET","  345",",,Q","  214",",,Q"
"ET000063500","1987-03-04","6.083","37.633","1290.0","ARBA MINCH, ET","  353",",,Q","  242",",,Q"
"ET000063500","1987-03-05","6.083","37.633","1290.0","ARBA MINCH, ET","  342",",,Q","  195",",,Q"
"ET000063500","1987-03-06","6.083","37.633","1290.0","ARBA MINCH, ET","  342",",,Q","  200",",,Q"
"ET000063500","1987-03-07","6.083","37.633","1290.0","ARBA MINCH, ET","  336",",,Q","  224",",,Q"
"ET000063500","1987-03-08","6.083","37.633","1290.0","ARBA MINCH, ET","  324",",,Q","  174",",,Q"
"ET000063500","1987-03-09","6.083","37.633","1290.0","ARBA MINCH, ET","  345",",,Q","  194",",,Q"
"ET000063500","1987-03-10","6.083","37.633","1290.0","ARBA MINCH, ET","  307",",,Q","  200",",,Q"
"ET000063500","1987-03-11","6.083","37.633","1290.0","ARBA MINCH, ET","  283",",,Q","  185",",,Q"
"ET000063500","1987-03-12","6.083","37.633","1290.0","ARBA MINCH, ET","  326",",,Q","  175",",,Q"
"ET000063500","1987-03-13","6.083","37.633","1290.0","ARBA MINCH, ET","  315",",,Q","  202",",,Q"
"ET000063500","1987-03-14","6.083","37.633","1290.0","ARBA MINCH, ET","  292",",,Q","  170",",,Q"
"ET000063500","1987-03-15","6.083","37.633","1290.0","ARBA MINCH, ET","  292",",,Q","  194",",,Q"
"ET000063500","1987-03-16","6.083","37.633","1290.0","ARBA MINCH, ET","  308",",,Q","  180",",,Q"
"ET000063500","1987-03-17","6.083","37.633","1290.0","ARBA MINCH, ET","  324",",,Q","  198",",,Q"
"ET000063500","1987-03-18","6.083","37.633","1290.0","ARBA MINCH, ET","  315",",,Q","  176",",,Q"
"ET000063500","1987-03-19","6.083","37.633","1290.0","ARBA MINCH, ET","  308",",,Q","  192",",,Q"
"ET000063500","1987-03-20","6.083","37.633","1290.0","ARBA MINCH, ET","  316",",,Q","  192",",,Q"
"ET000063500","1987-03-21","6.083","37.633","1290.0","ARBA MINCH, ET","  342",",,Q","  200",",,Q"
"ET000063500","1987-03-22","6.083","37.633","1290.0","ARBA MINCH, ET","  344",",,Q","  215",",,Q"
"ET000063500","1987-03-23","6.083","37.633","1290.0","ARBA MINCH, ET","  334",",,Q","  176",",,Q"
"ET000063500","1987-03-24","6.083","37.633","1290.0","ARBA MINCH, ET","  320",",,Q","  202",",,Q"
"ET000063500","1987-03-25","6.083","37.633","1290.0","ARBA MINCH, ET","  316",",,Q","  180",",,Q"
"ET000063500","1987-03-26","6.083","37.633","1290.0","ARBA MINCH, ET","  328",",,Q","  202",",,Q"
"ET000063500","1987-03-27","6.083","37.633","1290.0","ARBA MINCH, ET","  334",",,Q","  190",",,Q"
"ET000063500","1987-03-28","6.083","37.633","1290.0","ARBA MINCH, ET","  332",",,Q","  206",",,Q"
"ET000063500","1987-03-29","6.083","37.633","1290.0","ARBA MINCH, ET","  310",",,Q","  205",",,Q"
"ET000063500","1987-03-30","6.083","37.633","1290.0","ARBA MINCH, ET","  315",",,Q","  198",",,Q"
